,idx,title,author,ban_info
64,65,Thirteen Reasons Why,"Asher, Jay","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries and Classrooms, Florida, Jackson County School District, April 2022, Administrator; Banned in Libraries, Florida, Lee County Schools, May 2022, Administrator; Banned in Libraries, Florida, Polk County Public Schools, January 2022, Administrator; Banned Pending Investigation, Florida, Santa Rosa County District Schools, April 2022, Administrator; Banned in Libraries, Florida, St. Johns County School District, May 2022, Formal Challenge; Banned in Libraries, Florida, St. Lucie Public Schools, December 2021, Formal Challenge; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; Banned in Libraries and Classrooms, Idaho, Nampa School District, May 2022, Administrator; Banned Pending Investigation, Michigan, Gladwin Community Schools, May 2022, Administrator; Banned Pending Investigation, Texas, Fredericksburg Independent School District, March 2022, Administrator; Banned in Libraries, Texas, Katy Independent School District, October 2021, Administrator; "
65,66,Anna Hibiscus (Anna Hibiscus Series),Atinuke,"Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
66,67,The Black Flamingo,"Atta, Dean","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
67,68,The Handmaid's Tale,"Atwood, Margaret","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries, Georgia, Forsyth County Schools, January 2022, Administrator; Banned in Libraries and Classrooms, Idaho, Nampa School District, May 2022, Administrator; Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; Banned Pending Investigation, Michigan, Gladwin Community Schools, May 2022, Administrator; Banned Pending Investigation, Michigan, Rochester Community Schools District, April 2022, Administrator; Banned Pending Investigation, Texas, Fredericksburg Independent School District, March 2022, Administrator; Banned Pending Investigation, Texas, Klein Independent School District, November 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
68,69,The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret","Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; Banned in Libraries, Oregon, Medford School District 549C, April 2022, Formal Challenge; Banned in Classrooms, Texas, Leander Independent School District, September 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
69,70,The Testaments,"Atwood, Margaret","Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; Banned Pending Investigation, Texas, Fredericksburg Independent School District, March 2022, Administrator; "
70,71,Raise the Stakes,"Atwood, Megan","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
71,72,Worm Loves Worm,"Austrian, J.J.","Banned in Classrooms, Florida, Lee County Schools, March 2022, Administrator; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; "
72,73,Rising Out,"Azmitia, M.","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
73,74,"Sex, Puberty, and All That Stuff: A Guide to Growing Up","Bailey, Jacqui","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
74,75,Morris Micklewhite and the Tangerine Dress,"Baldacchino, Christine","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
75,76,Blindspot: Hidden Biases of Good People,"Banaji, Mahzarin R.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
76,77,One Man Guy,"Barakiva, Michael","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
77,78,Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,"Bardoe, Cheryl","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
78,79,Six of Crows (Six of Crows Series),"Bardugo, Leigh","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
79,80,"Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)","Barnes, Derrick","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
80,81,Crown: An Ode to the Fresh Cut,"Barnes, Derrick","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
81,82,I Am Every Good Thing,"Barnes, Derrick","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
82,83,Ruby Flips For Attention (Ruby and the Booker Boys Series),"Barnes, Derrick","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
83,84,Slumber Party Payback (Ruby and the Booker Boys Series),"Barnes, Derrick","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
84,85,"Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)","Barnes, Derrick","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
85,86,No Mirrors in My Nana's House: Musical CD and Book,"Barnwell, Ysaye M.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
86,87,Peter Pan,"Barrie, James Matthew","Banned Pending Investigation, Tennessee, Hamilton County Schools, October 2021, Administrator; "
87,88,They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell","Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, Klein Independent School District, November 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
88,89,Heart of Thorns (Heart of Thorns Series),"Barton, Bree","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
89,90,Soul of Cinder (Heart of Thorns Series),"Barton, Bree","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
90,91,Tears of Frost (Heart of Thorns Series),"Barton, Bree","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
91,92,Wonders of the Invisible World,"Barzak, Christopher","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
92,93,Girls Made of Snow and Glass,"Bashardoust, Melissa","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
